,ID,age,height_cm,weight_kg,overall,pac,sho,pas,dri,def,phy,skill_moves,weak_foot,work_rate_att,work_rate_def
180,2147,34,197,92,75,76,73,79,75,41,72,1,4,Medium,Medium
414,3484,36,190,84,73,33,33,56,53,75,65,2,3,Medium,High
58,6826,36,183,78,79,32,65,79,68,78,76,2,3,Medium,Medium
371,13732,36,187,90,77,34,47,57,50,79,73,2,4,Medium,High
416,20289,34,189,90,83,63,82,80,76,70,83,3,4,Medium,Medium
311,48940,35,196,90,86,82,87,76,81,42,83,1,3,Medium,Medium
146,49212,38,186,80,71,74,70,67,73,43,67,1,3,Medium,Medium
354,50542,34,171,65,80,74,85,61,79,25,65,3,4,Medium,Low
96,50723,36,198,85,66,67,64,63,63,52,65,1,2,Medium,Medium
305,51257,36,201,75,74,33,75,68,66,32,69,3,3,Medium,Medium
21,52326,32,191,85,72,73,70,69,77,47,71,1,2,Medium,Medium
454,53612,32,198,90,81,27,41,55,47,85,70,2,3,Low,Medium
198,53739,34,193,83,73,74,70,69,75,43,72,1,4,Medium,Medium
358,53914,34,180,87,80,50,46,58,55,82,78,2,3,Medium,High
368,54013,32,180,64,73,69,69,73,74,39,59,3,3,Medium,Medium
139,54033,30,188,80,75,43,71,79,66,70,71,3,5,Low,Medium
152,54051,32,170,77,75,72,66,70,81,36,61,4,2,High,High
271,105846,37,193,87,77,77,73,62,82,38,77,1,3,Medium,Medium
282,120312,33,188,76,74,29,33,44,37,76,73,2,3,Medium,High
442,122849,33,182,81,74,76,73,62,73,35,71,3,4,Medium,Medium
169,135451,36,191,91,79,81,75,60,85,51,77,1,2,Medium,Medium
224,135507,32,179,67,82,73,73,76,78,77,78,3,4,Medium,High
365,135883,32,183,90,76,65,43,69,67,76,76,2,4,High,Medium
335,136113,33,186,101,77,37,30,41,57,77,82,2,3,Medium,Medium
20,137782,32,182,78,75,71,63,72,76,73,72,3,4,High,Low
237,138412,31,175,70,80,67,74,82,77,76,78,3,4,High,High
54,138436,33,183,79,75,63,73,70,72,59,82,3,3,High,High
200,138722,30,180,77,71,64,55,61,69,73,73,2,3,High,Medium
397,139062,35,186,80,79,80,76,73,81,46,78,1,3,Medium,Medium
432,139313,31,187,89,76,62,69,77,71,76,77,3,2,Medium,Medium
86,139720,31,193,85,85,63,54,65,64,84,83,2,3,Medium,Medium
188,140415,34,167,65,77,46,53,77,78,69,63,3,3,Low,Medium
25,140498,32,190,83,74,73,71,67,76,49,73,1,3,Medium,Medium
171,142784,32,178,74,79,61,56,70,73,81,78,3,3,High,High
30,146439,31,186,82,79,63,80,66,71,39,79,3,2,Medium,Low
279,146562,32,168,66,83,65,76,85,85,61,63,4,5,High,Low
94,151508,32,173,70,77,64,61,77,77,67,74,3,3,High,High
136,152514,31,173,66,74,66,68,75,75,61,70,3,2,Medium,Medium
76,152554,31,176,65,77,79,43,65,73,75,68,2,4,Medium,Medium
212,152690,38,193,90,67,67,65,62,63,34,69,1,3,Medium,Medium
50,152747,30,165,63,77,83,64,71,82,38,62,3,3,High,Medium
452,152991,33,183,72,72,67,67,71,69,69,79,2,3,Medium,High
44,153079,29,173,70,89,87,88,75,89,23,72,4,4,High,Medium
321,153177,30,176,76,77,77,79,68,85,33,65,4,4,Medium,Low
398,153938,34,178,82,74,50,59,71,72,79,72,3,3,Medium,High
359,155355,28,180,68,71,72,63,71,72,50,61,4,3,High,High
347,155976,31,185,83,74,43,75,79,67,58,72,3,3,Medium,Low
209,157665,30,188,78,77,45,40,52,49,78,77,2,3,Low,Medium
385,158626,31,177,76,77,69,65,73,73,77,73,3,3,High,Medium
79,159577,35,191,89,73,31,41,49,39,73,79,2,3,Medium,Medium
225,160292,31,181,80,74,50,68,76,71,68,70,2,3,Low,High
408,161805,32,185,78,77,63,64,72,71,74,79,2,4,Medium,High
430,162895,30,180,77,86,63,77,88,80,61,64,3,3,High,Medium
228,163261,32,180,74,72,62,59,60,64,73,76,2,3,Medium,Medium
400,163264,31,188,86,81,80,79,76,83,54,80,1,3,Medium,Medium
296,163303,33,180,80,74,42,63,70,68,74,73,3,3,Medium,High
128,163418,31,193,87,75,52,44,56,55,74,79,2,3,High,Medium
309,163587,30,189,89,83,83,82,82,86,61,80,1,3,Medium,Medium
118,163625,31,178,79,70,60,66,72,64,66,72,2,3,High,Medium
450,163631,32,170,74,82,70,71,80,79,80,71,3,3,High,Medium
317,163705,32,185,82,81,86,78,75,83,48,77,1,3,Medium,Medium
320,163761,32,188,89,77,64,38,48,54,77,76,2,3,Medium,Medium
384,163824,32,183,77,82,65,43,56,61,81,81,2,4,Medium,Medium
285,163873,34,187,88,75,75,74,71,75,45,78,1,3,Medium,Medium
315,164459,32,178,70,74,56,74,77,72,62,72,2,3,Medium,Medium
159,164468,31,193,86,84,63,58,52,61,84,78,2,3,Medium,Medium
275,164505,32,193,95,74,74,69,74,76,37,73,1,2,Medium,Medium
456,164835,32,190,83,80,77,84,70,84,48,78,1,2,Medium,Medium
396,164853,32,188,90,73,73,69,78,73,47,70,1,2,Medium,Medium
42,164859,28,176,68,80,91,75,72,80,38,66,3,3,Medium,Medium
394,165190,30,183,73,74,58,65,72,65,70,77,3,2,Medium,Medium
122,165229,31,186,75,84,75,41,62,65,85,78,2,3,Medium,High
39,165321,31,184,82,75,68,59,69,70,74,78,3,5,High,High
316,165788,30,188,89,74,49,72,62,69,42,79,2,3,Medium,Medium
392,166080,30,179,72,72,67,68,73,76,52,66,3,3,Medium,Medium
187,166838,30,180,72,73,71,66,67,76,39,68,4,4,High,Medium
60,167943,31,174,70,79,63,73,78,75,73,71,3,4,Medium,Medium
151,168542,31,173,67,87,68,72,87,87,38,61,4,2,High,Low
429,169216,30,178,70,76,83,72,60,74,37,80,3,2,High,High
290,169426,30,183,76,72,72,51,62,66,72,75,2,3,Medium,Medium
338,169586,29,172,82,71,77,70,57,71,34,67,3,3,High,Medium
66,169590,29,180,80,73,52,66,76,66,71,71,2,4,Medium,Medium
204,169596,29,191,76,79,49,44,52,50,80,84,2,3,Medium,High
379,169600,30,176,80,75,69,38,61,67,77,76,2,3,Low,High
17,169607,29,178,76,76,65,57,67,67,75,81,2,3,Low,High
153,169638,30,178,75,75,76,55,72,74,72,70,2,3,High,Medium
207,169705,27,179,85,80,79,53,71,77,79,75,2,3,High,Medium
13,169706,28,185,69,78,59,62,75,74,76,79,2,4,Medium,High
277,169792,27,185,80,76,77,75,68,76,32,67,3,4,High,Medium
90,170008,29,192,91,68,71,63,63,68,45,69,1,3,Medium,Medium
75,170084,30,198,90,74,73,75,80,71,41,76,1,3,Medium,Medium
229,170570,30,173,67,72,54,65,70,72,45,59,3,3,Medium,Medium
226,170815,29,175,72,78,69,71,78,77,74,74,3,3,Medium,Medium
409,171833,27,180,76,82,76,82,69,79,25,68,4,2,Medium,Low
78,171972,29,178,66,75,62,60,72,71,72,76,3,3,High,High
393,172175,29,182,72,81,83,77,77,83,46,65,4,4,High,Medium
351,172203,29,201,93,77,74,78,69,80,34,76,1,5,Medium,Medium
93,172723,30,199,83,82,81,81,73,82,55,79,1,2,Medium,Medium
401,172768,30,178,73,75,61,64,75,72,64,71,3,4,Medium,Medium
424,172953,30,180,78,72,68,34,57,63,75,72,2,3,Medium,Medium
441,172962,26,177,79,79,83,71,72,82,70,74,4,4,Medium,Medium
303,172966,29,173,72,67,59,42,57,62,69,69,2,3,Medium,Medium
3,173426,29,193,87,81,80,76,65,84,56,78,1,2,Medium,Medium
97,173436,29,167,62,75,83,72,67,80,38,63,4,3,High,High
457,173546,28,192,74,75,51,33,53,54,77,75,2,2,Medium,Medium
2,174543,34,184,80,82,80,80,87,81,56,77,1,3,Medium,Medium
381,175603,30,197,101,59,67,54,54,61,53,54,1,3,Medium,Medium
45,176266,30,179,78,79,45,39,69,71,78,74,2,3,Medium,High
367,176546,31,172,72,73,86,65,71,80,67,68,4,2,High,Medium
451,176550,28,183,80,79,83,71,78,84,34,77,1,3,Medium,Medium
