id,player_fifa_api_id,player_api_id,overall_rating,potential,preferred_foot,attacking_work_rate,defensive_work_rate,crossing,finishing,heading_accuracy,short_passing,volleys,dribbling,curve,free_kick_accuracy,long_passing,ball_control,acceleration,sprint_speed,agility,reactions,balance,shot_power,jumping,stamina,strength,long_shots,aggression,interceptions,positioning,vision,penalties,marking,standing_tackle,sliding_tackle,gk_diving,gk_handling,gk_kicking,gk_positioning,gk_reflexes
1,218353,505942,67.0,71.0,right,medium,medium,49.0,44.0,71.0,61.0,44.0,51.0,45.0,39.0,64.0,49.0,60.0,64.0,59.0,47.0,65.0,55.0,58.0,54.0,76.0,35.0,71.0,70.0,45.0,54.0,48.0,65.0,69.0,69.0,6.0,11.0,10.0,8.0,8.0
6,189615,155782,74.0,76.0,left,high,medium,80.0,53.0,58.0,71.0,40.0,73.0,70.0,69.0,68.0,71.0,79.0,78.0,78.0,67.0,90.0,71.0,85.0,79.0,56.0,62.0,68.0,67.0,60.0,66.0,59.0,76.0,75.0,78.0,14.0,7.0,9.0,9.0,12.0
7,189615,155782,74.0,76.0,left,high,medium,80.0,53.0,58.0,71.0,32.0,73.0,70.0,69.0,68.0,71.0,79.0,78.0,78.0,67.0,90.0,71.0,85.0,79.0,56.0,60.0,68.0,67.0,60.0,66.0,59.0,76.0,75.0,78.0,14.0,7.0,9.0,9.0,12.0
8,189615,155782,73.0,75.0,left,high,medium,79.0,52.0,57.0,70.0,29.0,71.0,68.0,69.0,68.0,70.0,79.0,78.0,78.0,67.0,90.0,71.0,84.0,79.0,56.0,59.0,67.0,66.0,58.0,65.0,59.0,76.0,75.0,78.0,14.0,7.0,9.0,9.0,12.0
39,186170,162549,65.0,67.0,right,medium,medium,64.0,58.0,60.0,66.0,52.0,66.0,67.0,63.0,62.0,67.0,77.0,74.0,85.0,51.0,92.0,61.0,65.0,66.0,71.0,57.0,60.0,55.0,64.0,68.0,61.0,23.0,22.0,24.0,16.0,11.0,12.0,9.0,13.0
65,140161,30572,69.0,69.0,right,medium,medium,57.0,21.0,68.0,65.0,48.0,56.0,38.0,40.0,61.0,62.0,33.0,34.0,62.0,57.0,41.0,59.0,71.0,49.0,90.0,29.0,70.0,62.0,26.0,54.0,37.0,72.0,71.0,68.0,15.0,12.0,13.0,12.0,11.0
113,158138,27316,77.0,77.0,left,medium,medium,77.0,72.0,64.0,79.0,77.0,78.0,77.0,76.0,70.0,79.0,75.0,69.0,76.0,80.0,72.0,76.0,65.0,75.0,65.0,76.0,59.0,55.0,77.0,76.0,81.0,28.0,34.0,35.0,15.0,12.0,7.0,16.0,15.0
114,158138,27316,77.0,77.0,left,medium,medium,77.0,72.0,64.0,79.0,77.0,78.0,77.0,76.0,70.0,79.0,75.0,69.0,76.0,80.0,72.0,76.0,65.0,75.0,65.0,76.0,59.0,55.0,77.0,76.0,81.0,28.0,34.0,35.0,15.0,12.0,7.0,16.0,15.0
140,221280,564793,61.0,74.0,right,medium,high,48.0,32.0,47.0,64.0,34.0,54.0,56.0,40.0,64.0,63.0,69.0,67.0,60.0,61.0,80.0,53.0,71.0,68.0,59.0,38.0,75.0,54.0,39.0,61.0,42.0,52.0,58.0,57.0,8.0,13.0,14.0,14.0,15.0
141,221280,564793,61.0,75.0,right,medium,high,48.0,32.0,47.0,64.0,34.0,54.0,56.0,40.0,64.0,63.0,69.0,67.0,60.0,61.0,80.0,53.0,71.0,68.0,59.0,38.0,75.0,54.0,39.0,61.0,42.0,52.0,58.0,57.0,8.0,13.0,14.0,14.0,15.0
173,206592,528212,48.0,56.0,right,medium,medium,12.0,15.0,16.0,23.0,14.0,15.0,14.0,18.0,18.0,22.0,15.0,26.0,31.0,45.0,24.0,26.0,38.0,18.0,44.0,12.0,21.0,19.0,14.0,15.0,41.0,15.0,15.0,12.0,53.0,41.0,39.0,51.0,53.0
174,206592,528212,48.0,57.0,right,medium,medium,12.0,15.0,16.0,23.0,14.0,15.0,14.0,18.0,18.0,22.0,15.0,26.0,31.0,45.0,24.0,26.0,38.0,18.0,44.0,12.0,21.0,19.0,14.0,15.0,41.0,15.0,15.0,12.0,53.0,41.0,39.0,51.0,53.0
207,194958,231592,75.0,78.0,right,medium,medium,74.0,69.0,46.0,79.0,65.0,73.0,73.0,78.0,79.0,73.0,69.0,71.0,71.0,66.0,67.0,70.0,72.0,83.0,64.0,72.0,75.0,63.0,73.0,81.0,73.0,56.0,65.0,62.0,11.0,8.0,12.0,11.0,12.0
208,194958,231592,74.0,77.0,right,medium,medium,74.0,69.0,46.0,78.0,65.0,73.0,73.0,78.0,77.0,73.0,69.0,71.0,71.0,66.0,67.0,70.0,72.0,83.0,64.0,72.0,75.0,63.0,66.0,81.0,73.0,56.0,65.0,62.0,11.0,8.0,12.0,11.0,12.0
243,183853,40719,70.0,71.0,left,medium,medium,64.0,67.0,54.0,64.0,61.0,75.0,66.0,68.0,56.0,76.0,82.0,78.0,82.0,66.0,84.0,74.0,70.0,67.0,51.0,72.0,45.0,45.0,70.0,62.0,67.0,36.0,31.0,37.0,14.0,13.0,9.0,15.0,10.0
244,183853,40719,70.0,72.0,left,medium,medium,64.0,67.0,54.0,64.0,61.0,75.0,66.0,68.0,56.0,76.0,82.0,78.0,82.0,66.0,84.0,74.0,70.0,67.0,51.0,72.0,45.0,45.0,70.0,62.0,67.0,36.0,31.0,37.0,14.0,13.0,9.0,15.0,10.0
245,183853,40719,70.0,72.0,left,medium,medium,64.0,67.0,54.0,64.0,61.0,75.0,66.0,68.0,56.0,76.0,82.0,78.0,82.0,66.0,84.0,74.0,70.0,67.0,51.0,72.0,45.0,45.0,70.0,62.0,67.0,36.0,31.0,37.0,14.0,13.0,9.0,15.0,10.0
270,186561,75489,82.0,85.0,right,high,high,75.0,75.0,58.0,83.0,79.0,81.0,70.0,70.0,80.0,82.0,69.0,69.0,77.0,82.0,75.0,81.0,65.0,92.0,69.0,75.0,74.0,69.0,83.0,81.0,75.0,62.0,74.0,68.0,6.0,11.0,5.0,10.0,8.0
