"player_fifa_api_id","Rating","Crossing","Finishing","Heading","Short_Pass","Volleys","Dribbling","Curve","Freekick_Accuracy","Long_Pass","Ball_Control","Acceleration","Speed","Agility","Reactions","Balance","Shot_Power","Jumping","Stamina","Strength","Long_shots","Aggression","Interceptions","Attacking_Position","Vision","penalties","Marking","Standing_Tackle","Sliding_Tackle","GK_Diving","GK_Handling","GK_Kicking","GK_Positioning","GK_Reflexes","Work_Rate","Height","Weight","Age"
"163631","83","91","70","74","81","63","77","81","82","74","76","76","75","75","80","85","84","72","86","69","75","74","80","75","76","90","83","84","84","8","15","10","13","12","high / medium","170","154","30"
"50327","77","77","67","56","82","73","82","75","76","76","81","75","64","88","76","87","76","60","69","60","73","71","62","74","81","63","61","39","36","9","16","12","11","11","high / medium","170","146","33"
"201988","78","23","26","80","70","21","39","49","42","56","66","57","53","48","72","48","27","76","68","79","29","78","82","36","44","42","82","79","78","12","12","13","14","12","medium / high","190","183","26"
"179527","81","61","83","81","77","71","73","66","51","60","76","89","91","77","77","65","78","90","75","72","77","57","48","81","71","78","23","24","21","9","10","15","14","12","medium / medium","185","176","28"
"182495","81","68","38","76","65","65","60","72","41","65","65","83","83","85","78","77","71","93","75","71","59","80","85","47","58","50","87","87","87","2","3","4","2","4","medium / high","180","172","28"
"176266","79","63","23","65","77","47","69","66","47","73","74","55","57","70","78","73","71","82","77","73","35","83","83","52","69","61","80","80","78","10","8","8","5","6","low / high","177","161","28"
"185422","69","63","65","53","69","67","76","69","42","47","69","89","92","76","69","71","74","66","70","57","58","36","36","60","56","62","22","27","19","12","9","11","12","7","medium / medium","180","163","23"
"13732","85","42","46","90","66","55","45","44","31","64","63","33","34","44","85","46","61","78","67","86","33","88","86","38","59","52","87","87","85","14","5","6","15","8","medium / high","187","198","34"
"138412","80","86","68","69","85","79","77","81","79","82","78","72","70","71","84","73","87","64","91","71","81","71","72","77","78","79","67","68","70","1","1","1","1","1","high / high","175","154","29"
"169527","73","69","72","72","69","71","75","31","34","54","69","66","76","56","75","44","77","56","69","85","71","71","43","73","68","65","44","42","41","10","6","15","16","12","high / medium","185","176","27"
"190683","75","70","64","55","81","64","71","70","66","77","74","68","71","74","72","77","72","48","82","58","71","75","68","74","76","69","69","72","67","7","10","10","16","14","high / medium","175","150","24"
"191202","84","68","64","77","84","74","78","68","67","81","79","66","68","53","84","53","78","71","90","90","75","83","88","70","77","69","78","85","78","7","15","12","14","9","medium / high","193","185","27"
"203574","77","62","29","74","78","27","66","26","29","64","75","72","72","63","76","54","46","72","76","77","41","70","75","48","59","37","79","80","81","7","15","11","10","8","high / medium","187","165","21"
"202811","65","22","16","26","27","23","13","22","20","46","26","59","57","49","57","49","28","60","14","70","26","37","13","12","19","42","12","20","20","68","63","74","63","69","medium / medium","193","187","23"
"3484","75","63","29","77","61","32","46","55","35","58","68","42","32","51","74","54","49","61","66","77","23","78","77","32","55","47","77","79","76","9","14","13","10","14","medium / high","190","185","34"
"186200","76","70","76","75","75","75","77","65","61","62","75","79","77","78","77","64","76","71","75","66","66","70","30","78","69","81","13","26","24","11","6","8","12","6","medium / medium","180","163","24"
"153079","87","70","90","68","83","85","89","82","72","63","89","92","86","86","87","90","85","76","69","71","81","57","24","90","83","83","13","20","12","13","15","6","11","14","high / medium","172","163","27"
"164459","74","90","72","66","76","74","74","86","84","74","77","51","62","65","76","75","81","70","79","67","79","82","59","70","78","78","64","61","60","7","11","14","14","8","medium / medium","177","154","30"
"189324","75","11","17","16","33","12","17","15","18","35","17","58","56","35","69","43","20","68","35","63","14","35","22","16","50","41","13","13","12","79","73","61","74","81","medium / medium","193","174","25"
"176550","78","11","10","15","36","12","12","10","13","32","32","34","34","44","70","50","35","75","29","38","12","20","25","16","40","26","10","13","12","83","71","78","77","84","medium / medium","182","174","27"
"179746","71","51","74","78","64","63","66","47","46","55","72","61","65","61","68","53","71","85","78","82","63","73","42","73","62","71","42","29","24","13","14","9","9","7","high / medium","187","198","25"
"225539","65","49","65","62","60","59","66","42","39","43","72","78","73","65","50","70","65","73","50","67","59","31","22","65","53","70","24","15","22","9","15","14","9","10","medium / medium","185","165","18"
"155976","75","82","74","69","81","75","72","79","76","81","76","55","46","63","68","68","85","66","59","77","81","88","60","77","84","83","58","61","57","8","7","9","6","6","medium / low","185","181","29"
"166838","71","70","70","66","68","49","75","60","69","59","73","78","76","84","60","66","67","63","78","66","66","60","37","70","67","64","30","44","31","14","15","13","8","10","high / medium","180","159","28"
"140415","77","65","55","41","85","47","76","61","58","79","81","67","67","77","78","91","51","70","75","58","48","77","73","55","82","59","70","75","69","10","16","7","7","15","low / medium","167","143","33"
"168542","88","85","72","54","92","80","87","83","77","85","91","79","68","93","84","88","71","66","68","56","79","51","41","83","93","77","23","30","29","1","1","1","1","1","high / low","170","148","29"
"186521","76","51","39","79","76","51","40","51","42","63","63","62","68","70","64","51","56","76","71","81","42","78","73","33","53","52","80","76","74","11","15","12","9","12","medium / high","193","187","26"
"189242","84","74","70","47","85","75","87","84","72","78","88","89","77","91","75","91","79","59","73","55","80","35","30","76","87","64","24","38","35","12","7","9","14","6","high / low","170","150","23"
"199422","78","70","26","27","84","73","71","80","70","79","81","68","65","75","79","90","77","56","83","69","71","86","81","65","84","64","64","73","61","11","11","14","10","7","medium / high","170","154","24"
"187489","71","66","61","71","75","63","68","50","54","73","73","54","63","61","73","58","69","70","81","78","60","85","65","65","68","47","61","68","60","13","9","14","15","12","medium / high","187","190","26"
"203376","77","53","53","74","71","43","69","60","70","76","70","66","67","57","69","51","81","76","72","92","64","74","78","41","59","64","77","79","74","13","10","13","11","11","high / medium","193","203","24"
"205540","71","66","65","35","65","50","77","65","24","56","74","86","86","74","64","80","68","60","69","71","65","34","46","67","54","57","45","55","53","13","15","7","13","13","medium / medium","175","179","19"
"222634","70","57","68","62","55","51","74","56","44","44","72","84","87","76","65","57","80","81","66","83","59","46","21","67","54","68","23","33","24","8","15","14","8","10","medium / medium","185","190","19"
"163824","81","32","37","82","70","34","57","34","23","74","69","68","74","58","77","59","64","86","73","86","40","83","83","28","53","45","76","85","79","7","10","16","7","10","medium / high","182","201","31"
"170084","73","11","19","14","12","15","11","12","14","13","19","50","41","50","64","51","34","41","29","68","14","21","22","14","65","17","15","18","13","72","74","82","76","72","medium / medium","198","198","28"
"184749","71","68","64","61","73","64","66","57","57","71","71","66","64","65","69","72","71","67","74","64","73","76","70","77","73","61","66","68","68","6","15","14","15","6","medium / medium","182","174","25"
"204210","74","58","54","74","64","53","60","35","46","64","63","55","55","51","70","53","37","64","75","81","49","73","73","37","40","50","76","76","76","10","9","16","15","11","medium / high","193","194","26"
"184111","82","58","82","85","72","74","75","60","67","48","81","75","79","74","75","48","85","82","77","92","76","76","29","81","73","77","25","30","18","14","5","12","8","5","medium / medium","190","183","24"
"189505","83","78","80","55","83","70","84","81","57","74","85","86","79","84","85","82","71","67","78","55","73","56","49","84","74","66","30","32","31","5","11","12","15","9","high / medium","167","137","28"
"169600","71","68","27","70","62","50","64","44","32","57","63","76","71","63","73","81","37","78","79","71","54","77","65","58","63","54","70","75","74","10","15","13","9","11","medium / medium","177","170","28"
"177358","82","67","64","65","83","56","73","68","61","83","79","69","59","66","82","66","71","72","90","78","56","85","86","67","75","56","77","84","82","6","11","12","14","7","medium / high","180","165","25"
"210389","58","65","35","35","51","23","46","61","27","51","55","77","79","56","59","75","40","64","70","46","49","49","48","55","44","40","53","56","52","14","12","15","13","8","medium / medium","175","154","21"
"190456","81","80","54","66","76","45","78","64","39","67","76","87","86","84","75","76","74","73","87","71","69","76","76","64","64","46","80","83","86","10","11","13","15","7","high / medium","175","148","24"
"194334","71","35","35","72","59","29","53","43","33","61","64","66","64","62","67","44","42","62","67","73","30","67","72","40","60","38","75","74","70","15","8","15","6","10","medium / medium","190","185","24"
"197756","76","70","77","77","76","74","77","77","71","60","76","77","77","81","77","72","76","70","71","74","75","75","33","74","68","74","23","22","25","6","8","7","16","8","medium / medium","182","179","24"
"54033","74","76","60","72","81","79","66","68","74","79","82","34","50","34","73","44","91","57","41","87","75","77","74","63","84","72","70","68","66","10","7","11","9","11","low / medium","187","176","28"
"122849","76","61","75","73","65","71","78","57","56","49","75","75","81","75","75","61","84","78","73","84","70","47","28","77","66","67","22","43","26","10","6","7","12","7","medium / medium","182","179","31"
