"Rating","Height","Weight","Age","Work_Rate","Weak_foot","Skill_Moves","Ball_Control","Dribbling","Marking","Sliding_Tackle","Standing_Tackle","Aggression","Reactions","Attacking_Position","Interceptions","Vision","Composure","Crossing","Short_Pass","Long_Pass","Acceleration","Speed","Stamina","Strength","Balance","Agility","Jumping","Heading","Shot_Power","Finishing","Long_Shots","Curve","Freekick_Accuracy","Penalties","Volleys","GK_Positioning","GK_Diving","GK_Kicking","GK_Handling","GK_Reflexes","fifa_api_id"
"89","199 cm","91 kg","24","Medium / Medium","3","1","23","13","11","16","18","23","81","13","15","44","52","14","32","31","46","52","38","70","45","61","68","13","36","14","17","19","11","27","12","86","84","69","91","89","192119"
"89","173 cm","74 kg","26","High / Medium","4","4","91","93","25","22","27","54","85","85","41","86","86","80","84","80","93","87","77","65","90","92","59","57","79","81","82","82","79","86","79","8","11","6","12","8","183277"
"89","180 cm","76 kg","28","Medium / Low","2","4","90","86","22","19","16","48","87","84","24","93","73","82","89","84","77","68","68","56","70","84","52","54","70","75","76","84","79","67","77","6","6","10","14","14","176635"
"89","173 cm","70 kg","28","High / Medium","4","4","89","89","13","12","20","57","88","91","24","83","90","70","79","63","92","86","74","73","90","86","80","68","87","90","84","82","72","80","85","11","13","6","15","14","153079"
"88","181 cm","68 kg","25","High / High","4","4","86","85","30","40","39","68","88","84","52","88","84","90","89","82","76","78","85","73","75","78","65","53","85","83","86","81","84","77","82","10","15","5","13","13","192985"
"88","169 cm","62 kg","28","High / High","3","4","86","89","30","35","39","80","87","86","42","82","82","80","80","73","88","84","85","72","87","90","85","70","84","85","81","78","78","77","83","12","10","15","10","13","184941"
"88","196 cm","90 kg","34","Medium / Medium","3","1","22","12","11","12","13","17","86","13","23","53","70","19","35","33","42","50","32","65","34","49","51","19","21","12","11","13","19","23","17","85","83","77","90","85","48940"
"87","173 cm","67 kg","31","High / Low","2","4","90","85","23","29","42","51","84","81","41","92","92","85","91","78","72","65","68","56","88","92","66","54","71","70","74","83","77","77","80","1","1","1","1","1","168542"
"86","171 cm","68 kg","24","High / High","4","4","88","88","24","40","44","55","81","83","30","87","79","77","85","78","89","77","79","61","91","91","59","47","79","73","85","84","79","64","75","14","12","9","7","6","189242"
"86","188 cm","85 kg","28","High / Medium","4","3","83","79","28","34","39","93","85","88","40","74","84","65","67","52","76","78","85","91","52","58","64","82","84","89","72","62","59","76","82","8","11","12","13","11","179844"
"86","175 cm","74 kg","29","High / Medium","3","3","86","80","60","62","63","45","81","78","50","91","92","85","91","90","65","62","80","64","77","65","68","74","77","76","75","77","81","80","81","15","6","8","10","15","162895"
"86","168 cm","66 kg","32","Medium / Medium","5","4","87","86","58","52","64","64","85","82","64","85","88","85","86","84","75","65","72","59","91","85","70","58","78","77","82","86","78","80","72","7","6","5","9","15","146562"
"85","190 cm","94 kg","23","Medium / Medium","4","3","79","76","27","30","30","72","77","85","27","70","84","68","71","68","81","89","80","93","48","62","71","83","88","87","76","64","66","80","76","7","8","14","15","10","192505"
"85","180 cm","80 kg","26","High / Medium","4","4","88","87","57","64","64","68","87","77","79","87","86","74","90","83","77","74","73","74","83","85","62","49","77","69","74","81","74","76","75","5","11","5","14","13","186942"
"85","175 cm","75 kg","28","High / High","4","4","86","87","43","51","62","44","81","78","55","83","74","75","82","77","92","86","86","61","82","87","46","29","71","75","80","80","85","60","59","7","14","13","12","13","180403"
"85","186 cm","75 kg","31","Medium / High","3","2","67","62","83","86","87","90","82","31","86","56","80","54","76","69","78","80","77","76","62","70","86","84","54","32","47","22","49","51","35","11","13","9","11","7","165229"
"85","193 cm","85 kg","30","Medium / Medium","3","2","66","63","85","86","88","81","83","41","77","59","85","61","65","66","68","69","68","87","42","60","73","84","75","45","55","61","52","63","46","8","10","5","9","6","139720"
"84","179 cm","62 kg","26","Medium / Medium","4","5","90","88","25","21","27","40","75","80","38","79","82","80","80","76","86","79","77","57","82","92","59","45","76","77","73","79","75","72","71","11","15","13","9","6","204485"
"84","183 cm","81 kg","29","High / High","3","2","64","41","81","83","84","89","78","49","82","45","74","52","70","66","68","75","78","81","62","71","90","85","69","53","56","50","39","44","56","11","12","8","5","12","192366"
"84","184 cm","82 kg","24","Medium / High","3","2","70","53","82","85","83","79","81","50","85","55","71","51","77","69","67","73","74","81","69","66","85","81","66","58","52","55","47","54","51","10","11","15","9","6","192227"
"84","194 cm","84 kg","28","Medium / High","3","3","79","72","76","77","83","83","82","68","86","77","85","68","83","80","66","68","90","90","53","57","71","77","78","64","75","68","67","69","74","14","7","12","15","9","191202"
"84","189 cm","84 kg","29","High / Medium","3","3","79","66","80","84","85","84","79","54","82","69","70","68","79","78","72","73","77","77","56","74","82","82","77","56","71","70","76","75","67","7","11","10","12","14","179944"
"84","185 cm","82 kg","32","Medium / Medium","3","1","17","15","10","13","15","37","81","11","23","55","63","14","37","28","53","43","31","61","36","52","74","13","24","13","11","13","12","11","13","80","86","77","80","85","163705"
"84","189 cm","90 kg","33","Medium / Medium","4","3","82","79","66","75","76","78","82","80","60","85","83","67","86","83","69","78","80","91","55","60","65","74","86","82","85","80","85","89","68","12","13","6","14","8","20289"
"83","168 cm","68 kg","26","Medium / High","3","3","79","76","75","85","89","90","85","69","91","76","84","67","84","79","83","81","94","76","90","80","79","54","72","65","66","49","49","54","56","7","15","10","12","10","215914"
"83","170 cm","69 kg","22","High / Medium","2","4","84","86","48","54","58","34","79","81","26","76","74","72","81","67","94","92","75","64","91","90","60","38","68","73","70","64","49","63","59","15","15","12","12","9","202652"
"83","181 cm","76 kg","25","High / High","4","4","83","87","30","42","64","64","81","84","37","83","76","72","83","76","79","79","86","76","81","82","81","73","79","82","80","80","67","72","78","6","8","9","11","10","201942"
"83","195 cm","90 kg","25","Medium / Medium","2","2","71","68","85","78","84","81","81","51","84","72","80","54","77","77","67","77","75","80","50","58","65","88","66","36","48","63","22","42","50","7","11","10","15","10","197061"
"83","167 cm","62 kg","29","High / Medium","5","4","85","84","30","31","32","56","83","84","49","74","72","78","83","70","86","80","80","56","82","84","67","55","71","81","73","81","57","66","70","15","5","12","11","9","189505"
"83","183 cm","76 kg","26","High / High","3","3","84","81","62","67","72","74","82","83","72","80","80","75","85","80","69","69","90","69","75","77","65","58","81","73","75","70","70","75","79","10","6","5","11","8","186561"
