"ID","pac","sho","pas","dri","def","phy"
"20801","90","93","82","90","33","80"
"158023","89","90","86","96","26","61"
"190871","92","84","79","95","30","60"
"176580","82","90","79","87","42","81"
"167495","91","90","95","89","60","91"
"188545","81","88","75","86","38","82"
"193080","90","85","87","90","58","86"
"183277","90","82","84","92","32","66"
"182521","56","81","89","81","73","70"
"167664","79","87","70","83","25","74"
"155862","76","63","71","71","88","83"
"192985","75","84","88","85","45","75"
"192119","85","91","69","88","49","86"
"184941","86","84","80","89","40","78"
"177003","73","75","86","89","72","65"
"173731","94","87","84","85","57","76"
"153079","87","88","75","89","23","72"
"138956","74","46","56","59","90","85"
"1179","89","88","74","84","46","90"
"211110","86","85","81","91","24","67"
"200389","84","90","77","84","52","87"
"194765","86","85","78","87","30","68"
"189509","72","75","85","90","62","63"
"188567","96","84","75","81","37","71"
"184344","68","54","70","70","87","81"
"183907","75","50","72","67","88","84"
"182493","67","48","65","63","88","79"
"178603","64","58","75","71","89","76"
"176635","71","74","87","86","24","58"
"167948","88","86","68","90","64","82"
"164240","72","56","73","73","89","79"
"41236","65","88","81","82","32","82"
"9014","86","86","81","91","32","63"
"215914","81","66","75","79","81","84"
"199556","65","59","84","89","79","68"
"195864","74","79","84","85","68","88"
"190460","75","78","88","84","47","63"
"181872","75","81","80","79","83","84"
"179813","77","83","72","80","42","81"
"176676","78","69","80","86","83","79"
"171877","74","80","84","84","68","71"
"168651","65","84","86","83","60","66"
"168542","68","72","87","87","38","61"
"162835","87","86","69","87","56","87"
"152729","65","61","69","65","86","76"
"41","71","70","87","90","58","58"
"202126","73","87","72","78","42","83"
"198710","76","85","85","83","40","68"
"197781","71","83","82","89","54","62"
"197445","86","73","81","80","82","74"
"192505","83","85","70","74","34","84"
"191043","86","65","77","81","81","84"
"189596","77","82","77","78","46","71"
"189511","40","59","79","74","82","81"
"189242","82","78","83","88","35","64"
"188350","88","87","84","86","39","64"
"184087","66","58","72","65","87","80"
"179944","70","64","74","71","84","81"
"179844","75","83","65","76","40","88"
"178518","78","80","78","82","81","83"
"177610","50","60","69","65","86","80"
"175943","90","82","79","89","36","55"
"172879","78","52","55","60","87","84"
"168609","71","49","60","67","88","77"
"165153","78","82","78","82","22","74"
"162895","63","77","88","80","61","64"
"156616","82","76","83","90","25","58"
"120533","68","51","57","61","86","80"
"48940","82","87","76","81","42","83"
"208418","88","79","78","88","29","63"
"201535","83","45","61","64","84","79"
"201153","83","81","71","80","24","74"
"200145","62","68","74","72","84","86"
"198219","90","74","82","89","25","50"
