,id,f16_Rating,f16_Crossing,f16_Finishing,f16_Heading,f16_Short_Pass,f16_Volleys,f16_Dribbling,f16_Curve,f16_Freekick_Accuracy,f16_Long_Pass,f16_Ball_Control,f16_Acceleration,f16_Speed,f16_Agility,f16_Reactions,f16_Balance,f16_Shot_Power,f16_Jumping,f16_Stamina,f16_Strength,f16_Long_shots,f16_Aggression,f16_Interceptions,f16_Attacking_Position,f16_Vision,f16_penalties,f16_Marking,f16_Standing_Tackle,f16_Sliding_Tackle,f16_GK_Diving,f16_GK_Handling,f16_GK_Kicking,f16_GK_Positioning,f16_GK_Reflexes,f16_Height,f16_Weight,f16_Age,f16_Att_WR,f16_Def_WR,f17_Rating,f17_Height,f17_Weight,f17_Age,f17_Weak_foot,f17_Skill_Moves,f17_Ball_Control,f17_Dribbling,f17_Marking,f17_Sliding_Tackle,f17_Standing_Tackle,f17_Aggression,f17_Reactions,f17_Attacking_Position,f17_Interceptions,f17_Vision,f17_Composure,f17_Crossing,f17_Short_Pass,f17_Long_Pass,f17_Acceleration,f17_Speed,f17_Stamina,f17_Strength,f17_Balance,f17_Agility,f17_Jumping,f17_Heading,f17_Shot_Power,f17_Finishing,f17_Long_Shots,f17_Curve,f17_Freekick_Accuracy,f17_Penalties,f17_Volleys,f17_GK_Positioning,f17_GK_Diving,f17_GK_Kicking,f17_GK_Handling,f17_GK_Reflexes,f17_Att_WR,f17_Def_WR,pac,sho,pas,dri,def,phy
0,163631,83,91,70,74,81,63,77,81,82,74,76,76,75,75,80,85,84,72,86,69,75,74,80,75,76,90,83,84,84,8,15,10,13,12,170,154,30,high,medium,83,170,154,32,3,3,79,78,81,82,82,74,80,75,80,76,81,88,81,74,76,75,86,69,85,75,72,74,84,70,75,81,82,90,63,13,8,10,15,12,high,medium,70,71,80,79,80,71
1,201988,78,23,26,80,70,21,39,49,42,56,66,57,53,48,72,48,27,76,68,79,29,78,82,36,44,42,82,79,78,12,12,13,14,12,190,183,26,medium,high,79,190,183,28,2,2,66,39,82,78,79,78,72,36,82,44,72,23,70,56,54,53,68,79,48,48,76,80,27,26,29,49,42,42,21,14,12,13,12,12,medium,medium,48,28,51,50,81,76
2,179527,81,61,83,81,77,71,73,66,51,60,76,89,91,77,77,65,78,90,75,72,77,57,48,81,71,78,23,24,21,9,10,15,14,12,185,176,28,medium,medium,81,185,176,30,3,4,76,75,23,21,24,57,77,81,48,71,76,61,75,60,87,86,73,74,65,77,89,80,78,80,77,66,51,78,71,14,9,15,10,12,medium,medium,76,76,65,73,33,69
3,182495,81,68,38,76,65,65,60,72,41,65,65,83,83,85,78,77,71,93,75,71,59,80,85,47,58,50,87,87,87,2,3,4,2,4,180,172,28,medium,high,81,180,172,29,3,2,65,60,86,81,82,78,74,50,86,58,76,68,65,65,79,83,75,75,79,81,93,76,70,37,59,68,41,50,65,2,2,4,3,4,medium,high,74,51,63,64,79,75
4,176266,79,63,23,65,77,47,69,66,47,73,74,55,57,70,78,73,71,82,77,73,35,83,83,52,69,61,80,80,78,10,8,8,5,6,177,161,28,low,high,80,179,161,30,3,2,74,69,78,79,80,83,78,49,85,69,78,63,77,73,55,53,77,76,73,70,82,65,71,23,35,66,47,61,47,5,10,8,8,6,medium,high,45,39,69,71,78,74
5,185422,69,63,65,53,69,67,76,69,42,47,69,89,92,76,69,71,74,66,70,57,58,36,36,60,56,62,22,27,19,12,9,11,12,7,180,163,23,medium,medium,74,180,163,25,2,3,72,77,22,19,27,50,70,70,36,56,61,63,66,47,88,92,73,75,71,78,72,63,75,75,58,69,42,69,64,12,12,11,9,7,medium,medium,90,77,60,76,29,70
6,13732,85,42,46,90,66,55,45,44,31,64,63,33,34,44,85,46,61,78,67,86,33,88,86,38,59,52,87,87,85,14,5,6,15,8,187,198,34,medium,high,81,187,198,36,4,2,60,45,82,81,82,80,81,38,83,59,82,42,66,62,33,34,63,85,46,44,80,90,61,46,33,44,31,52,55,15,14,6,5,8,medium,high,34,47,57,50,79,73
7,138412,80,86,68,69,85,79,77,81,79,82,78,72,70,71,84,73,87,64,91,71,81,71,72,77,78,79,67,68,70,1,1,1,1,1,175,154,29,high,high,80,176,154,31,4,3,78,77,76,79,77,77,84,77,76,78,86,85,85,82,71,69,91,73,73,73,64,69,85,68,79,81,77,83,79,1,1,1,1,1,high,high,67,74,82,77,76,78
8,190683,75,70,64,55,81,64,71,70,66,77,74,68,71,74,72,77,72,48,82,58,71,75,68,74,76,69,69,72,67,7,10,10,16,14,175,150,24,high,medium,75,175,150,25,3,3,74,71,69,69,73,79,73,74,68,75,71,70,82,75,68,68,80,60,77,74,48,55,72,64,71,70,66,69,64,16,7,10,10,14,high,medium,68,68,75,73,69,69
9,191202,84,68,64,77,84,74,78,68,67,81,79,66,68,53,84,53,78,71,90,90,75,83,88,70,77,69,78,85,78,7,15,12,14,9,193,185,27,medium,high,84,194,185,28,3,3,79,72,76,77,83,83,82,68,86,77,85,68,83,80,66,68,90,90,53,57,71,77,78,64,75,68,67,69,74,14,7,12,15,9,medium,high,64,70,77,72,80,87
