,id,overall,age,pac,sho,pas,dri,def,phy
0,183277,90,26,90,82,84,92,32,66
1,192985,89,26,75,84,88,85,45,75
2,192119,89,25,85,91,69,88,49,86
3,184941,89,28,86,84,80,89,40,78
4,153079,89,29,87,88,75,89,23,72
5,176635,88,28,71,74,87,86,24,58
6,215914,87,26,81,66,75,79,81,84
7,168542,87,31,68,72,87,87,38,61
8,192505,86,24,83,85,70,74,34,84
9,189242,86,25,82,78,83,88,35,64
10,179944,86,30,70,64,74,71,84,81
11,179844,86,28,75,83,65,76,40,88
12,162895,86,30,63,77,88,80,61,64
13,48940,86,35,82,87,76,81,42,83
14,186942,85,26,71,74,83,87,64,71
15,184432,85,27,79,55,75,74,86,78
16,139720,85,31,63,54,65,64,84,83
17,208722,84,25,93,78,75,85,36,75
18,192227,84,25,67,57,63,62,83,79
19,191202,84,28,64,70,77,72,80,87
20,189505,84,29,82,77,77,85,37,62
21,180403,84,28,88,76,81,86,49,64
22,165229,84,31,75,41,62,65,85,78
23,164468,84,31,63,58,52,61,84,78
24,204485,83,26,82,74,78,88,28,55
25,203376,83,25,73,60,67,69,83,85
26,201942,83,25,77,81,79,85,46,77
27,197061,83,25,67,46,68,66,84,78
28,193474,83,27,76,60,70,77,83,81
29,192366,83,29,63,56,59,54,83,81
30,180819,83,29,73,75,80,84,65,74
31,177358,83,27,68,62,76,77,79,81
32,163587,83,30,83,82,82,86,61,80
33,146562,83,32,65,76,85,85,61,63
34,20289,83,34,63,82,80,76,70,83
35,222492,82,21,94,77,72,86,35,70
36,202652,82,22,93,71,74,85,46,61
37,199503,82,24,50,66,79,72,72,78
38,193348,82,25,83,77,78,85,46,65
39,190456,82,26,83,61,71,77,80,76
40,186561,82,26,68,75,79,81,65,75
41,184484,82,27,66,81,84,79,52,70
42,184200,82,28,77,74,79,81,53,81
43,183711,82,27,72,70,83,76,76,81
44,181291,82,26,81,75,76,84,66,74
45,178509,82,30,53,81,70,73,38,83
46,174543,82,34,80,80,87,81,56,77
47,172723,82,30,81,81,73,82,55,79
48,171833,82,27,76,82,69,79,25,68
49,163824,82,32,65,43,56,61,81,81
50,163631,82,32,70,71,80,79,80,71
51,135507,82,32,73,73,76,78,77,78
52,230666,81,20,87,79,71,87,26,67
53,217699,81,29,69,77,67,72,47,85
54,208830,81,30,91,79,63,77,51,78
55,207599,81,24,72,49,64,68,82,82
56,203747,81,22,95,51,69,78,75,70
57,203042,81,24,81,83,72,85,41,78
58,199354,81,28,81,82,76,80,31,71
59,199189,81,23,77,73,77,82,55,77
60,198717,81,24,90,71,71,86,33,72
61,195086,81,27,56,40,59,63,81,82
62,192638,81,26,77,69,77,77,77,80
63,189461,81,25,71,69,80,82,62,72
64,183285,81,27,61,33,62,56,80,85
65,180216,81,28,73,66,72,78,80,77
66,173426,81,29,80,76,65,84,56,78
67,172175,81,29,83,77,77,83,46,65
68,163705,81,32,86,78,75,83,48,77
69,163264,81,31,80,79,76,83,54,80
70,53612,81,32,27,41,55,47,85,70
71,208333,80,23,71,67,77,77,78,84
72,204529,80,23,79,80,59,77,27,74
73,203775,80,24,84,74,74,85,50,76
74,199434,80,28,70,67,80,83,37,63
75,198784,80,23,88,70,74,84,52,71
76,193061,80,26,78,68,80,81,66,68
77,188253,80,26,70,60,75,74,77,81
78,186146,80,26,84,74,71,79,37,78
79,184111,80,26,73,78,65,73,33,80
80,177604,80,31,76,53,72,75,80,74
81,169705,80,27,79,53,71,77,79,75
82,164859,80,28,91,75,72,80,38,66
83,164835,80,32,77,84,70,84,48,78
84,138412,80,31,67,74,82,77,76,78
85,53914,80,34,50,46,58,55,82,78
86,50542,80,34,74,85,61,79,25,65
87,211381,79,23,82,71,73,86,36,43
88,204311,79,22,67,50,58,55,79,83
89,203574,79,23,71,35,67,71,80,77
90,201988,79,28,48,28,51,50,81,76
91,201305,79,26,67,49,65,63,81,76
92,201118,79,25,82,67,72,76,76,72
93,199576,79,25,57,39,65,64,78,85
94,199561,79,30,72,78,76,80,39,67
95,199550,79,25,57,42,59,57,79,81
96,198683,79,25,74,81,71,78,25,70
97,189963,79,28,66,80,59,72,39,81
98,189271,79,26,66,52,67,75,78,80
99,186148,79,28,74,80,70,81,48,77
100,186132,79,27,68,67,76,77,74,77
101,185103,79,31,66,69,78,75,79,78
102,183108,79,30,81,75,76,82,57,72
103,177578,79,30,37,36,50,40,80,81
104,176550,79,28,83,71,78,84,34,77
105,176266,79,30,45,39,69,71,78,74
106,172962,79,26,83,71,72,82,70,74
107,169596,79,29,49,44,52,50,80,84
108,167943,79,31,63,73,78,75,73,71
109,146439,79,31,63,80,66,71,39,79
110,142784,79,32,61,56,70,73,81,78
111,139062,79,35,80,76,73,81,46,78
112,135451,79,36,81,75,60,85,51,77
113,6826,79,36,32,65,79,68,78,76
114,213135,78,22,83,76,68,75,31,77
115,208135,78,24,66,71,73,76,74,81
116,205569,78,22,66,66,84,75,61,67
117,204077,78,22,89,75,69,82,26,67
118,201508,78,26,71,75,76,80,39,62
