,id,overall,age,pac,sho,pas,dri,def,phy,overall_pred
0,183277,90,26,89,81,84,90,32,66,89
1,192985,89,26,75,83,86,85,44,75,89
2,192119,89,25,83,88,71,86,49,83,89
3,184941,89,28,85,83,80,88,41,76,89
4,153079,89,29,87,86,76,88,24,72,84
5,176635,88,28,71,75,86,86,25,59,88
6,215914,87,26,80,66,75,78,79,81,84
7,168542,87,31,69,75,83,87,38,60,87
8,192505,86,24,82,83,70,75,34,83,81
9,189242,86,25,82,78,82,88,36,64,86
10,179944,86,30,68,65,73,71,83,79,83
11,179844,86,28,75,81,65,77,40,83,82
12,162895,86,30,64,77,86,81,61,65,83
13,48940,86,35,81,84,75,81,46,81,85
14,186942,85,26,72,72,81,85,62,73,84
15,184432,85,27,78,56,75,74,84,78,85
16,139720,85,31,63,54,63,64,83,82,82
17,208722,84,25,92,77,75,85,36,74,83
18,192227,84,25,66,57,62,61,83,79,84
19,191202,84,28,63,70,77,73,80,86,83
20,189505,84,29,82,77,76,84,38,62,80
21,180403,84,28,88,76,80,86,51,63,84
22,165229,84,31,75,42,62,65,84,78,84
23,164468,84,31,64,59,54,61,84,78,82
24,204485,83,26,81,74,77,87,30,56,83
25,203376,83,25,71,59,66,68,82,83,82
26,201942,83,25,77,80,79,85,47,76,82
27,197061,83,25,67,46,68,67,83,78,83
28,193474,83,27,74,60,71,77,81,80,83
29,192366,83,29,64,55,59,55,83,80,83
30,180819,83,29,72,74,80,84,64,73,83
31,177358,83,27,65,63,75,76,79,80,80
32,163587,83,30,82,82,78,85,57,78,82
33,146562,83,32,66,77,85,86,60,64,83
34,20289,83,34,65,81,80,77,70,83,83
35,222492,82,21,91,75,71,84,35,68,82
36,202652,82,22,92,72,74,85,47,62,82
37,199503,82,24,49,64,79,72,72,78,82
38,193348,82,25,83,77,78,84,48,68,79
39,190456,82,26,83,61,71,77,80,76,82
40,186561,82,26,67,75,78,81,65,75,79
41,184484,82,27,66,80,83,78,51,70,82
42,184200,82,28,76,74,78,81,51,80,82
43,183711,82,27,72,69,82,76,76,79,81
44,181291,82,26,82,75,76,84,64,73,80
45,178509,82,30,54,81,70,73,39,82,81
46,174543,82,34,80,81,81,81,53,78,82
47,172723,82,30,80,82,71,83,52,79,81
48,171833,82,27,79,81,68,81,26,72,79
49,163824,82,32,65,42,57,61,81,81,82
50,163631,82,32,71,72,80,78,80,73,82
51,135507,82,32,73,73,76,78,76,78,82
52,230666,81,20,86,78,71,86,28,66,81
53,217699,81,29,68,77,67,73,47,84,80
54,208830,81,30,90,78,63,76,50,76,80
55,207599,81,24,68,47,61,65,80,79,82
56,203747,81,22,92,52,69,77,74,70,81
57,203042,81,24,79,81,72,83,42,77,78
58,199354,81,28,79,80,76,80,32,71,79
59,199189,81,23,77,73,77,82,56,77,81
60,198717,81,24,90,71,70,85,34,71,81
61,195086,81,27,55,40,59,63,81,81,81
62,192638,81,26,77,67,74,76,76,79,80
63,189461,81,25,71,70,80,82,62,72,82
64,183285,81,27,57,36,59,54,80,82,80
65,180216,81,28,74,67,71,77,80,77,79
66,173426,81,29,80,77,67,83,56,77,78
67,172175,81,29,83,77,77,83,47,65,81
68,163705,81,32,81,83,72,82,47,79,83
69,163264,81,31,80,78,74,83,52,79,80
70,53612,81,32,31,39,55,48,84,73,80
71,208333,80,23,71,66,76,76,78,83,79
72,204529,80,23,79,78,61,77,28,73,77
73,203775,80,24,82,77,73,84,50,73,77
74,199434,80,28,69,68,80,83,38,64,80
75,198784,80,23,89,70,74,84,49,71,76
76,193061,80,26,79,68,80,82,67,69,82
77,188253,80,26,69,61,75,75,77,80,80
78,186146,80,26,83,75,72,80,34,78,80
79,184111,80,26,73,78,66,73,33,80,79
80,177604,80,31,74,54,71,74,80,73,82
81,169705,80,27,78,52,70,76,79,75,78
82,164859,80,28,91,76,72,81,40,65,78
83,164835,80,32,78,82,71,83,48,78,79
84,138412,80,31,68,73,81,77,75,77,83
85,53914,80,34,52,46,59,56,81,78,80
86,50542,80,34,74,83,63,78,25,65,80
87,211381,79,23,86,74,73,85,42,55,81
88,204311,79,22,66,50,58,55,79,82,80
89,203574,79,23,71,37,65,71,80,77,79
90,201988,79,28,48,31,52,49,80,76,78
91,201305,79,26,66,54,63,64,80,77,82
92,201118,79,25,80,65,71,77,74,71,81
93,199576,79,25,59,42,66,64,76,83,78
94,199561,79,30,73,79,77,82,40,67,78
95,199550,79,25,58,44,59,59,78,80,79
96,198683,79,25,75,81,71,79,26,71,78
97,189963,79,28,67,81,60,72,38,81,79
98,189271,79,26,66,53,68,75,78,79,79
99,186148,79,28,81,81,70,83,50,74,77
100,186132,79,27,65,66,74,73,72,75,75
